5.3-blank-env	pass	aborts naming the missing variables, no stack trace
5.3-callback-mismatch	FAIL	a public-url/callback mismatch is NOT reported at boot: {"time":"2026-08-16T01:02:41.415345783Z","level":"INFO","msg":"hangar serve: starting","version":"v1.0.0-rc1","commit":"3ac0014"} {"time":"2026-08-16T01:02:41.423387578Z","level":"WARN","msg":"hangar: could not verify the schema against the migrations","error":"db: listing existing tables: failed to connect to `user=x database=z`: 127.0.0.1:5432 (127.0.0.1): dial error: dial tcp 127.0.0.1:5432: connect: connection refused"} 
5.3-postgres-not-ready	pass	the migrate service depends_on postgres with condition: service_healthy
5.1	pass	exactly three commands, no editor step (the two SSO values are prompted for by install.sh)
5.2	SUBSTITUTED	no build: key and no compilation, but the image is NOT pulled from a public registry: ghcr.io/hangar-project/hangar returns 403 and the repository is unpublished. Verified against a locally built image of the same commit
5.4	pass	/healthz and /readyz both 200 after 9s (budget 300s); migrations ran from the one-shot migrate service
5.5	pass	services are exactly: hangar migrate postgres  (no redis)
5.6	pass	the SPA is served by the binary itself on the same port as the API
first-boot-alerts	pass	54 alert types with 4 thresholds on the FIRST boot
5.7	pass	after a version bump and a second 'docker compose up -d', migrations re-ran and the seeded row survived
5.8	PARTIAL	the static binary ran on a bare debian:12-slim with no toolchain and migrated an external PostgreSQL 18. systemd itself was NOT exercised — this host is Windows and has no systemd; the unit file is deploy/ material and remains unverified
5.8-config-name-collision	FAIL	a binary named 'hangar' in its own working directory is parsed as a YAML config file, so §9.2's manual layout boots into an opaque parse error naming neither the file nor the reason
