controller,pattern,status,corpus,http_status,expected_bytes,actual_bytes,expected_sha256,actual_sha256,byte_identical,first_difference_at,reason
RoleController,/api/v2/roles,breaking,,410,0,0,,,false,-1,the RBAC grant model changed shape entirely; there is no role object to translate onto.
RoleLookupController,/api/v2/roles/query/permissions,breaking,,410,0,0,,,false,-1,the RBAC grant model changed shape entirely; there is no role object to translate onto.
CharacterController,/api/v2/character/assets/{id},pending,character.assets,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). Legacy's asset tables have `map_id` (bigint) and `map_name` (string) as REAL PERSISTED COLUMNS holding SeAT's own location-resolution denormalisation; app.asset has neither, and HANGAR resolves locations through app.asset_location with a different shape and no stored name. The recording is decisive rather than silent about it: character.assets row two carries map_id 30000142 and map_name ""Jita"", so a constant null would be provably wrong. Recorded as unreproducible in APPENDIX_C_MIGRATION.md §7 since Phase 19 — this route's reason simply did not say so."
CharacterController,/api/v2/character/contracts/{id},pending,character.contracts,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). `contract_details.price` is a MySQL DOUBLE, the same column type as character_wallet_journals.amount, and the corpus carries the same divergence settled in 20.7: the fixture seeds 9007199254740993.01, which parses to the float64 9007199254740994, and the recording says 9007199254741000 — three ulps away. HANGAR's app.contract.price is NUMERIC(30,2) and holds the value it was given, exactly. No formatting rule makes an exact decimal emit a different double, so this is the same unfixable corpus fact, not a second instance of a fixable bug. Everything else about the route IS reproducible — bids, lines, the three entity objects and the nested location objects all have HANGAR sources or recorded constants — which is precisely why the price had to be checked rather than assumed."
CharacterController,/api/v2/character/killmails/{id},pending,killmails.character,501,0,0,,,false,-1,"shimmable in shape, blocked on legacy's `attacker_hash`: a SeAT-internal surrogate app.killmail_attacker has no column for and no ESI response carries (APPENDIX_C_MIGRATION.md §7), so it cannot be derived. The sync half of this blocker was CLOSED in Phase 20.7 (B48) — app.killmail now has a writer — but the surrogate is not recoverable from upstream data at any level of effort."
CharacterController,/api/v2/character/sheet/{id},pending,character.sheet,501,0,0,,,false,-1,"NOT shimmable, blocked on `user_id`: legacy's is a MySQL auto-increment integer and HANGAR's app.character.user_id is a uuid, so no translation produces the integer a legacy client stored — the same identifier-space break that makes UserController unshimmable, appearing inside an otherwise reproducible route. NOTE (20.11 audit): the RECORDING shows `""user_id"": null`, because CharacterInfo::user() is a hasOneThrough over `refresh_tokens` and fixtures.php seeds none — so a constant null would match the corpus and be wrong on every populated installation. The corpus does not pin this field; re-recording with a refresh token would. This route's SECOND blocker is CLOSED as of Phase 20.9 (B56): `skillpoints.total_sp` and `skillpoints.unallocated_sp` were parsed from ESI and discarded on every sync, and app.character_skill_summary now holds both. Closing it removed one blocker of two and changed nothing about this route's status."
CharacterController,/api/v2/character/wallet-journal/{id},pending,character.wallet-journal,501,0,0,,,false,-1,"blocked on a MEASURED corpus conflict, not on missing code. The recording's `amount` (9007199254741000) is a different float64 from the value the fixture seeds (9007199254740993.01 parses to 9007199254740994, 3 ulps away). MEASURED in 20.7 against PHP 8.2.33: serialize_precision is -1 (shortest round-trip), NOT 14-significant-digit rounding, so the encoder is correct and unchanged — the two systems genuinely hold different doubles, and no formatting rule can make HANGAR's exact NUMERIC(30,2) emit legacy's lossy DOUBLE."
CharacterController,/api/v2/character/wallet-transactions/{id},pending,character.wallet-transactions,501,0,0,,,false,-1,"the recorded response leads with SeAT's own MySQL auto-increment key (`id` / `internal_id`), a SeAT-internal surrogate HANGAR has no column for — app.wallet_transaction is keyed on (owner_kind, owner_id, transaction_id, date). Inventing a counter would differ between two installations holding identical data. Same class as `attacker_hash` in APPENDIX_C_MIGRATION.md §7."
CorporationController,/api/v2/corporation/assets/{id},pending,corporation.assets,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). Legacy's asset tables have `map_id` (bigint) and `map_name` (string) as REAL PERSISTED COLUMNS holding SeAT's own location-resolution denormalisation; app.asset has neither, and HANGAR resolves locations through app.asset_location with a different shape and no stored name. The recording is decisive rather than silent about it: character.assets row two carries map_id 30000142 and map_name ""Jita"", so a constant null would be provably wrong. Recorded as unreproducible in APPENDIX_C_MIGRATION.md §7 since Phase 19 — this route's reason simply did not say so."
CorporationController,/api/v2/corporation/contracts/{id},pending,corporation.contracts,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). `contract_details.price` is a MySQL DOUBLE, the same column type as character_wallet_journals.amount, and the corpus carries the same divergence settled in 20.7: the fixture seeds 9007199254740993.01, which parses to the float64 9007199254740994, and the recording says 9007199254741000 — three ulps away. HANGAR's app.contract.price is NUMERIC(30,2) and holds the value it was given, exactly. No formatting rule makes an exact decimal emit a different double, so this is the same unfixable corpus fact, not a second instance of a fixable bug. Everything else about the route IS reproducible — bids, lines, the three entity objects and the nested location objects all have HANGAR sources or recorded constants — which is precisely why the price had to be checked rather than assumed."
